feature,importance
报价日,189
市场波动率_120d,101
市场波动率比值,73
波动率_60d,67
vol_ratio_60_250,65
总分_delta_1y,61
盈利能力_delta_1y,61
波动率_250d,56
个股PB,55
行业年化收益_60d,55
同行PE_中位,55
同行市值_均值,51
总分_T,51
净利润,51
市场距离MA250,47
price_vs_MA250,47
行业PB_250d增长,44
FCF_YoY,43
行业波动率_250d,43
报价日_md,42
price_vs_MA20,42
同行市值_中位,40
同行PE_均值,40
行业胜率_120d,39
FCF_T3,38
行业PB,38
总分_T-4,38
净资产增长,38
price_vs_MA120,38
漂移率,37
价格标准差,37
资本支出_YoY,36
年化收益_250d,35
行业年化收益_20d,35
盈利能力_T-1,35
毛利率,34
PE_vs_行业,34
行业PE_60d增长,33
年化收益_120d,32
行业波动率_120d,31
MA250,31
PB_vs_行业,30
成长能力_delta_2y,30
报价日价格,30
数据天数,30
vol_ratio_20_60,29
现金利息负债比,29
流动比率,29
成长能力_delta_4y,29
区间收益_60d,29
成长能力_T-1,29
PE_vs_同行均值,29
营收_T,28
总资产周转率,28
PB_vs_同行均值,28
FCF_conversion,28
盈利能力_T,27
capex_to_dep,26
行业波动率_20d,26
成长能力_T-2,26
波动率_20d,26
个股PE,26
总分_T-3,26
年化收益_20d,26
现金流动负债比,25
行业区间收益_60d,25
胜率_250d,25
研发费用率,24
FCF_加速,24
年化收益_60d,23
折旧_T,23
利息资本化率,23
总分_T-1,22
MA20,22
盈利能力_T-3,22
同行公司数,22
营收_加速,22
return_acceleration,22
市场年化收益_120d,21
capex_intensity,21
FCF_T2,21
营收_T1,21
资本支出_T3,21
成长能力_T,21
总分_T-2,21
区间收益_20d,21
同行PB_均值,21
同行PS_中位,21
报价日MA20,20
资本支出_CAGR2,20
FCF_T1,20
已获利息倍数,19
行业年化收益_120d,19
净利增长,19
胜率_60d,19
总分_delta_2y,19
营收_CAGR2,19
存货周转率,19
行业波动率_60d,18
资产负债率,18
利润增长,18
总分_delta_4y,18
同行PB_中位,18
成长能力_delta_1y,18
营收增长,17
ROE,17
净利率,17
行业PB_120d增长,17
市场胜率_120d,17
成长能力_斜率,17
中位价,16
MA60,16
资本支出_加速,16
price_vs_MA60,16
盈利能力_delta_4y,16
同行PE_标准差,16
FCF_T4,16
折旧_T4,16
FCF_T,16
营业利润_T4,16
胜率_120d,15
净利润_fcf_T1,15
资本支出_T4,15
资本支出_T2,15
净利润_fcf_CAGR2,14
盈利能力_斜率,14
PE_vs_同行中位,14
锁定价当前价,14
行业MA250,14
营收_3年斜率,13
流动资产周转率,13
MA120,13
波动率_120d,13
PB_vs_同行中位,13
行业年化收益_250d,13
区间收益_120d,12
资本支出_T1,12
MA30,12
营业利润_T3,12
营收_YoY,12
NOPAT_YoY,12
行业胜率_250d,12
盈利能力_T-4,12
净利润_fcf_YoY,12
速动比率,12
行业PB_60d增长,12
成长能力_T-4,11
个股PS,11
成长能力_T-3,11
盈利能力_delta_2y,11
FCF_3年斜率,11
行业区间收益_20d,11
PS_vs_同行均值,11
胜率_20d,10
营收_T2,10
ROE增长,10
NOPAT_加速,10
ROA,10
行业MA120,10
总分_斜率,10
盈利能力_T-2,9
应收账款周转率,9
净利润_fcf_T2,9
净利润_fcf_T3,9
营业利润_T,9
折旧_T2,8
总营收增长,8
NOPAT_margin,8
行业胜率_20d,8
行业MA20,8
扣非净利增长,7
同行PS_均值,7
行业总天数,7
行业区间收益_250d,7
净利润_fcf_T4,7
营收_T3,7
邀请日,6
净利润_fcf_T,6
区间收益_250d,6
行业PE_250d增长,6
行业PE,6
当前价,6
总资产净利率,6
行业PE_120d增长,6
行业胜率_60d,6
NOPAT_CAGR2,6
资本支出_T,5
行业MA60,5
营业利润_加速,5
FCF_margin,5
营收_T4,5
折旧_T3,5
均价_all,4
产权比率,4
营收增长2,4
波动率,4
营业利润_T2,4
溢价率上限,3
折旧_T1,3
营业利润_T1,3
净利润_fcf_加速,3
NOPAT_T4,3
NOPAT_T3,3
行业波动率_总,3
行业区间收益_120d,2
ROE摊薄,2
FCF_CAGR2,2
FCF年份_T,2
NOPAT_T,2
行业漂移率,2
FCF年份_T1,1
营业利润_YoY,1
NOPAT_3年斜率,1
NOPAT_T2,1
NOPAT_T1,0
FCF年份_T3,0
FCF年份_T2,0
FCF年份_T4,0
营业利润_CAGR2,0
