feature,importance
报价日_excel,119
市场波动率_120d,94
市场波动率比值,73
报价日_md,66
price_vs_MA20,60
波动率_60d,57
行业年化收益_60d,54
总分_delta_1y,49
成长能力_delta_1y,49
同行PE_中位,48
行业胜率_120d,48
盈利能力_delta_1y,47
个股PB,47
同行PS_中位,46
净资产增长,45
现金利息负债比,44
盈利能力_T,43
同行市值_均值,41
波动率_250d,41
利息资本化率,40
年化收益_20d,39
净利增长,37
同行公司数,37
行业波动率_250d,37
净利润,37
市场距离MA250,36
price_vs_MA250,33
price_vs_MA120,31
capex_intensity,30
vol_ratio_60_250,30
行业年化收益_20d,30
市场胜率_120d,30
已获利息倍数,29
营收_YoY,29
营收_CAGR2,29
研发费用率,29
总分_T-4,29
成长能力_T-1,28
return_acceleration,28
MA120,28
成长能力_delta_2y,27
行业PB_120d增长,27
营业利润_T4,27
盈利能力_T-1,26
capex_to_dep,26
FCF_T2,26
数据天数,26
价格标准差,26
营收_3年斜率,26
行业PB_250d增长,26
区间收益_60d,25
毛利率,24
总分_T-3,23
PE_vs_行业,23
PE_vs_同行均值,23
盈利能力_T-3,23
price_vs_MA60,23
胜率_120d,23
年化收益_120d,23
个股PS,22
资本支出_T4,22
行业波动率_60d,22
FCF_加速,22
行业波动率_20d,22
同行市值_中位,22
总营收增长,22
成长能力_delta_4y,21
应收账款周转率,21
PS_vs_同行均值,21
行业年化收益_120d,21
当前价,20
成长能力_T,20
行业区间收益_20d,20
总资产周转率,20
FCF_T1,20
胜率_250d,19
盈利能力_delta_4y,19
盈利能力_delta_2y,19
现金流动负债比,19
行业波动率_120d,19
FCF_T3,19
邀请日,19
成长能力_T-2,19
同行PE_均值,19
同行PE_标准差,19
MA250,19
同行PB_均值,19
存货周转率,19
行业年化收益_250d,18
营收_T1,18
净利率,18
NOPAT_3年斜率,18
流动资产周转率,18
波动率_20d,18
年化收益_250d,18
PB_vs_同行均值,18
中位价,18
报价日,18
ROE,17
资本支出_YoY,17
营业利润_T3,17
个股PE,16
行业PE,16
漂移率,16
总分_T-1,16
盈利能力_T-4,15
行业区间收益_60d,15
NOPAT_CAGR2,15
FCF_YoY,15
资本支出_加速,15
折旧_T,15
报价日价格_excel,15
总分_T-2,14
成长能力_T-3,14
行业胜率_250d,14
产权比率,14
FCF_conversion,14
FCF_margin,14
行业PB,14
总资产净利率,14
资本支出_CAGR2,14
行业级别,14
波动率,13
MA30,13
资本支出_T2,13
NOPAT_加速,13
ROA,13
盈利能力_斜率,13
成长能力_T-4,13
营收_T,12
均价_all,12
FCF_3年斜率,12
流动比率,12
行业总天数,12
营收增长,12
净利润_fcf_YoY,12
速动比率,12
净利润_fcf_T1,11
营业利润_T2,11
区间收益_120d,11
行业MA250,11
PE_vs_同行中位,11
行业MA120,11
营收_加速,11
区间收益_20d,11
同行PB_中位,11
行业胜率_60d,11
PB_vs_行业,10
扣非净利增长,10
NOPAT_YoY,10
总分_delta_2y,10
净利润_fcf_T3,10
MA60,9
总分_delta_4y,9
资产负债率,9
MA20,9
同行PS_均值,9
净利润_fcf_T2,9
资本支出_T3,9
年化收益_60d,9
利润增长,9
总分_T,9
总分_斜率,8
折旧_T2,8
行业漂移率,8
FCF_T,8
成长能力_斜率,8
ROE增长,8
报价日价格,8
折旧_T4,7
区间收益_250d,7
vol_ratio_20_60,7
溢价率上限,7
净利润_fcf_CAGR2,7
报价日MA20,7
营收_T3,7
净利润_fcf_加速,7
资本支出_T,7
营收_T4,6
盈利能力_T-2,6
行业胜率_20d,6
营业利润_加速,6
波动率_120d,6
净利润_fcf_T,6
市场年化收益_120d,6
营收增长2,6
FCF_CAGR2,5
净利润_fcf_T4,5
营业利润_T1,5
FCF_T4,5
胜率_60d,5
营业利润_T,5
营收_T2,5
折旧_T3,5
胜率_20d,5
NOPAT_margin,4
资本支出_T1,4
行业MA60,4
ROE摊薄,4
营业利润_CAGR2,4
行业MA20,3
蒙特卡洛_通过,3
行业PE_60d增长,3
行业区间收益_250d,3
行业区间收益_120d,3
step2通过,3
有效阈值数,3
