特征,系数(标准化后),影响,影响强度
FCF年份_T4,0.8837299801650773,↑正相关（高分→盈利）,★★★
折旧_T2,0.7776425753110677,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.776139593456224,↑正相关（高分→盈利）,★★★
MA30,0.6973578238440784,↑正相关（高分→盈利）,★★★
研发费用率,0.6873450679381145,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.6834999076194248,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6426139061532768,↑正相关（高分→盈利）,★★★
营收_YoY,0.5497620186384347,↑正相关（高分→盈利）,★★★
同行市值_均值,0.5265154636728768,↑正相关（高分→盈利）,★★★
营收_加速,0.5251868579956658,↑正相关（高分→盈利）,★★★
报价日价格_excel,0.5138005416596972,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4736024395631221,↑正相关（高分→盈利）,★★★
ROA,0.45400100655914877,↑正相关（高分→盈利）,★★★
step1通过,0.44069742296382713,↑正相关（高分→盈利）,★★★
漂移率,0.4271232460771792,↑正相关（高分→盈利）,★★★
FCF_YoY,0.4146260766458555,↑正相关（高分→盈利）,★★★
波动率_120d,0.41249218928769693,↑正相关（高分→盈利）,★★★
vol_ratio_60_250,0.3991146994095793,↑正相关（高分→盈利）,★★★
当前价,0.3770334954290507,↑正相关（高分→盈利）,★★★
净利润_fcf_T1,0.3714879338134789,↑正相关（高分→盈利）,★★★
step2通过,0.37001855581332144,↑正相关（高分→盈利）,★★★
溢价率上限_excel,0.36110647615420405,↑正相关（高分→盈利）,★★★
同行PE_中位,0.3576279209313611,↑正相关（高分→盈利）,★★★
资本支出_T1,0.35403066051995746,↑正相关（高分→盈利）,★★★
行业MA250,0.35095555229195396,↑正相关（高分→盈利）,★★★
价格标准差,0.3412875198395033,↑正相关（高分→盈利）,★★★
市场_above_MA250,0.3361362710130645,↑正相关（高分→盈利）,★★★
行业波动率_250d,0.3351124698999293,↑正相关（高分→盈利）,★★★
修正PE估值_通过,0.3310935629429229,↑正相关（高分→盈利）,★★★
营收_T2,0.3262986403088158,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.31881041079649813,↑正相关（高分→盈利）,★★★
净利润_fcf_CAGR2,0.2982548117926028,↑正相关（高分→盈利）,★★
PB_vs_同行中位,0.2914570722798556,↑正相关（高分→盈利）,★★
产权比率,0.2791697340241792,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.26708752698332244,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.26708752698332244,↑正相关（高分→盈利）,★★
营收_T,0.2615399482574741,↑正相关（高分→盈利）,★★
折旧_T4,0.25505452533083933,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.24381052980787507,↑正相关（高分→盈利）,★★
行业PB_60d增长,0.2397645391948912,↑正相关（高分→盈利）,★★
年化收益_120d,0.23124647632989828,↑正相关（高分→盈利）,★★
营收_T4,0.2286753127837898,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.2116849848820673,↑正相关（高分→盈利）,★★
盈利能力_T-3,0.1961993738686063,↑正相关（高分→盈利）,★★
