月份,样本数,7m均值%,7m标准差%,年化夏普,年化收益%
1月,16,6.88894009417721,8.583402862442666,1.0508349642246775,12.09830230774125
2月,16,8.119547375864686,7.6484507765118535,1.389952462117124,14.319816365465176
3月,16,10.308574586292075,7.299626465346669,1.84901137742329,18.31626935032895
4月,16,5.251091403260388,5.446798897274262,1.262262964798577,9.169860787208762
5月,16,8.605178323091883,6.493456332102737,1.7351041689332751,15.201479489866943
6月,16,8.22529403081161,7.148472594231868,1.5065369165066629,14.511559050260892
7月,16,8.330784562845842,5.9637253555561855,1.8289838544839405,14.702970709223795
8月,16,19.280455001886644,37.69068335860611,0.6697687340828229,35.28873469615807
9月,16,5.250989074650689,7.459368073538444,0.9216810964891557,9.169678835441841
10月,16,8.391481589242286,7.239907892952431,1.517564672452102,14.813165303363341
11月,16,11.844692820132561,24.65986312298162,0.6288900789462815,21.154807880494065
12月,16,4.944761320243838,10.537423534916687,0.6144018295071872,8.625737623955242
