特征,业务解释,IV,LR系数,贡献度_logit摆幅,分箱边界,各箱WOE,各箱分值_x100,贡献度占比%
MACD_W_HIST,周线MACD柱; 中期多头动能,0.1587,0.6329,0.6531,"[-0.252, 0.005, 0.153, 0.499, 19.85]","[0.336, 0.333, 0.206, -0.224, -0.696]","[21.26, 21.09, 13.06, -14.18, -44.05]",26.4
sue_zscore,同比超预期的个股历史z-score(Latane-Jones SUE),0.0241,0.9262,0.4372,"[-0.24, -0.0527, 0.151, 0.51, 608606581.08]","[0.268, -0.018, -0.204, -0.021, -0.027]","[24.82, -1.67, -18.9, -1.98, -2.51]",17.7
ROC_M_3,月线3期收益率(月度动量); 高=近期月线走强,0.1335,0.3637,0.4055,"[-0.0864, 0.0231, 0.118, 0.281, 3.144]","[0.404, 0.154, 0.09, 0.019, -0.71]","[14.71, 5.61, 3.27, 0.69, -25.84]",16.4
pvt_slope_20,20日PVT(量价趋势)斜率; 高=放量上涨累积(均值回归则反),0.0693,0.514,0.3665,"[-0.0002, 0.0002, 0.0005, 0.0012, 0.0165]","[0.493, -0.049, -0.22, -0.111, -0.114]","[25.32, -2.52, -11.33, -5.71, -5.85]",14.8
turnover_skew_120,换手率族(daily_basic派生),0.0245,0.703,0.3088,"[1.227, 1.671, 1.841, 2.404, 7.482]","[-0.227, -0.08, 0.016, 0.074, 0.213]","[-15.94, -5.62, 1.13, 5.23, 14.94]",12.5
turnover_now,最新换手率,0.0564,0.216,0.1289,"[1.009, 1.972, 2.468, 4.621, 31.724]","[0.274, 0.124, 0.004, -0.086, -0.322]","[5.92, 2.67, 0.08, -1.86, -6.97]",5.2
ROC_W_3,周线3期收益率(周度动量),0.0533,0.1462,0.0983,"[-0.052, 0.0012, 0.0476, 0.115, 0.875]","[0.317, 0.136, -0.058, -0.049, -0.355]","[4.64, 1.99, -0.85, -0.72, -5.19]",4.0
obv_slope_20,20日OBV斜率(归一化净买入量); 高=资金累积,0.0251,-0.1081,-0.0493,"[-0.0779, 0.0621, 0.168, 0.304, 0.82]","[0.12, 0.179, 0.035, -0.061, -0.278]","[-1.3, -1.93, -0.37, 0.66, 3.0]",2.0
cmf_20,"Chaikin资金流(20日 ΣCLV·量/总量, -1~1); 正=资金收集",0.028,-0.0461,-0.0237,"[-0.104, -0.0167, 0.0496, 0.136, 0.642]","[0.256, 0.105, -0.039, -0.068, -0.258]","[-1.18, -0.48, 0.18, 0.31, 1.19]",1.0
