特征,系数(标准化后),影响,影响强度
折旧_T2,1.0629824638208552,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.9226293041785337,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.7424081572255132,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.7195391055979674,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.7178905214722354,↑正相关（高分→盈利）,★★★
总分_T-4,0.6302018401560279,↑正相关（高分→盈利）,★★★
同行PE_中位,0.6281712105220327,↑正相关（高分→盈利）,★★★
营收_YoY,0.6038678092146529,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.5964424126354421,↑正相关（高分→盈利）,★★★
MA30,0.5501898840565251,↑正相关（高分→盈利）,★★★
营收_T1,0.5450351291889578,↑正相关（高分→盈利）,★★★
当前价,0.5430497986024986,↑正相关（高分→盈利）,★★★
成长能力_T,0.5317267578028511,↑正相关（高分→盈利）,★★★
营收_加速,0.5106203272746592,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.5010838747114834,↑正相关（高分→盈利）,★★★
报价日,0.4919779760647668,↑正相关（高分→盈利）,★★★
FCF_YoY,0.47631667905418124,↑正相关（高分→盈利）,★★★
总分_斜率,0.4703103863266123,↑正相关（高分→盈利）,★★★
总分_delta_2y,0.4493985612889859,↑正相关（高分→盈利）,★★★
锁定价当前价,0.44347623141447434,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.4403017199078876,↑正相关（高分→盈利）,★★★
营收增长2,0.4244868779046617,↑正相关（高分→盈利）,★★★
MA250,0.393924726861929,↑正相关（高分→盈利）,★★★
区间收益_120d,0.388670269357148,↑正相关（高分→盈利）,★★★
营收_T2,0.38011238604574676,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.370340698341638,↑正相关（高分→盈利）,★★★
折旧_T,0.3595846908682204,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.3334591818669339,↑正相关（高分→盈利）,★★★
同行市值_均值,0.3184591287543935,↑正相关（高分→盈利）,★★★
营收_T,0.3095285210419321,↑正相关（高分→盈利）,★★★
价格标准差,0.29130203238151714,↑正相关（高分→盈利）,★★
PB_vs_同行均值,0.2706068100136662,↑正相关（高分→盈利）,★★
速动比率,0.2606924343023493,↑正相关（高分→盈利）,★★
总分_T-3,0.22633615238866725,↑正相关（高分→盈利）,★★
行业MA250,0.22573746852311982,↑正相关（高分→盈利）,★★
营业利润_T1,0.22329845055979333,↑正相关（高分→盈利）,★★
return_acceleration,0.22322686970803884,↑正相关（高分→盈利）,★★
NOPAT_T1,0.22191441818091098,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.22168036316407946,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.22168036316407946,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.20663922453527162,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.20463379077946967,↑正相关（高分→盈利）,★★
price_vs_MA60,0.20092107621104635,↑正相关（高分→盈利）,★★
年化收益_20d,0.20090508134287474,↑正相关（高分→盈利）,★★
胜率_250d,0.20062414359900588,↑正相关（高分→盈利）,★★
成长能力_T-2,0.19833702990212607,↑正相关（高分→盈利）,★★
营收_3年斜率,0.19802854494065325,↑正相关（高分→盈利）,★★
资本支出_T4,0.19609266336183193,↑正相关（高分→盈利）,★★
资本支出_T1,0.19344387946624267,↑正相关（高分→盈利）,★★
行业PB_60d增长,0.19125868797965873,↑正相关（高分→盈利）,★★
波动率,0.1824001996877075,↑正相关（高分→盈利）,★★
折旧_T3,0.17998538890605192,↑正相关（高分→盈利）,★★
波二_retr,0.17685754626240138,↑正相关（高分→盈利）,★★
市场胜率_120d,0.17534948607231568,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.1688301442189944,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.16874111622683832,↑正相关（高分→盈利）,★★
行业波动率_60d,0.16533531693442924,↑正相关（高分→盈利）,★★
行业波动率_总,0.16533531693442924,↑正相关（高分→盈利）,★★
资本支出_YoY,0.16072098099566834,↑正相关（高分→盈利）,★★
营业利润_T4,0.1588435741410883,↑正相关（高分→盈利）,★★
NOPAT_T4,0.1588435741410883,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.15802928820004872,↑正相关（高分→盈利）,★★
vol_ratio_60_250,0.1551433010778689,↑正相关（高分→盈利）,★★
行业MA60,0.1539183661745173,↑正相关（高分→盈利）,★★
流动比率,0.14553590988232523,↑正相关（高分→盈利）,★
盈利能力_delta_2y,0.1411406755744908,↑正相关（高分→盈利）,★
FCF_margin,0.13635705908823745,↑正相关（高分→盈利）,★
已获利息倍数,0.1342298481822872,↑正相关（高分→盈利）,★
年化收益_60d,0.1325354643193493,↑正相关（高分→盈利）,★
研发费用率,0.1324379208177913,↑正相关（高分→盈利）,★
净利润_fcf_T2,0.12816588458583736,↑正相关（高分→盈利）,★
净利润_fcf_T,0.1272598345412137,↑正相关（高分→盈利）,★
产权比率,0.12103577165463211,↑正相关（高分→盈利）,★
FCF_3年斜率,0.11285207893798076,↑正相关（高分→盈利）,★
营收增长,0.11057081213011632,↑正相关（高分→盈利）,★
抵抗_corr_div_stock,0.10551891195888784,↑正相关（高分→盈利）,★
capex_intensity,0.09972763607108859,↑正相关（高分→盈利）,★
同行PE_标准差,0.08926666855894615,↑正相关（高分→盈利）,★
ROE,0.0878675448177942,↑正相关（高分→盈利）,★
ROE摊薄,0.0878675448177942,↑正相关（高分→盈利）,★
营业利润_T,0.0878167711424124,↑正相关（高分→盈利）,★
净利润_fcf_T4,0.08736562564805331,↑正相关（高分→盈利）,★
邀请日,0.08243789102140137,↑正相关（高分→盈利）,★
营业利润_YoY,0.07974913532483392,↑正相关（高分→盈利）,★
NOPAT_YoY,0.07798401466858962,↑正相关（高分→盈利）,★
应收账款周转率,0.07735808378487935,↑正相关（高分→盈利）,★
总分_delta_4y,0.07465282185640278,↑正相关（高分→盈利）,★
总营收增长,0.07454631180772688,↑正相关（高分→盈利）,★
个股PS,0.07355680227074823,↑正相关（高分→盈利）,★
胜率_60d,0.06891728891117706,↑正相关（高分→盈利）,★
NOPAT_T,0.06733328517869934,↑正相关（高分→盈利）,★
个股PB,0.06623596456256961,↑正相关（高分→盈利）,★
行业胜率_60d,0.06617825962935488,↑正相关（高分→盈利）,★
行业总天数,0.06433134523011179,↑正相关（高分→盈利）,★
成长能力_delta_2y,0.06108708546930036,↑正相关（高分→盈利）,★
ROE增长,0.054971031089649,↑正相关（高分→盈利）,★
个股PE,0.05410978004353195,↑正相关（高分→盈利）,★
净利润_fcf_CAGR2,0.05261895594566931,↑正相关（高分→盈利）,★
ROA,0.04860335147431886,↑正相关（高分→盈利）,★
市场距离MA250,0.04454208500839121,↑正相关（高分→盈利）,★
行业波动率_250d,0.04311006959350002,↑正相关（高分→盈利）,★
行业PE,0.04174312648936608,↑正相关（高分→盈利）,★
同行PS_均值,0.03689107260431329,↑正相关（高分→盈利）,★
资产负债率,0.035640651835022595,↑正相关（高分→盈利）,★
行业PE_60d增长,0.03187337445980034,↑正相关（高分→盈利）,★
区间收益_20d,0.030026632332619582,↑正相关（高分→盈利）,★
漂移率,0.02097727802230646,↑正相关（高分→盈利）,★
流动资产周转率,0.006836241206781082,↑正相关（高分→盈利）,★
现金利息负债比,0.004373944091309626,↑正相关（高分→盈利）,★
溢价率上限,0.0030800016893087877,↑正相关（高分→盈利）,★
扣非净利增长,-0.002539075706971407,↓负相关（高分→亏损）,★
净利增长,-0.002539075706971407,↓负相关（高分→亏损）,★
波二_gain,-0.004066883535078421,↓负相关（高分→亏损）,★
波二_score,-0.009088280749100298,↓负相关（高分→亏损）,★
总资产净利率,-0.00970288740408392,↓负相关（高分→亏损）,★
资本支出_T3,-0.011231214118671456,↓负相关（高分→亏损）,★
胜率_20d,-0.012599018149036705,↓负相关（高分→亏损）,★
行业年化收益_60d,-0.016903928450886327,↓负相关（高分→亏损）,★
行业漂移率,-0.016903928450886327,↓负相关（高分→亏损）,★
行业区间收益_60d,-0.01932795062718581,↓负相关（高分→亏损）,★
MA120,-0.01956610855055544,↓负相关（高分→亏损）,★
盈利能力_T-3,-0.02140311015467756,↓负相关（高分→亏损）,★
行业波动率_120d,-0.02227738253873312,↓负相关（高分→亏损）,★
波动率_20d,-0.032932235393635476,↓负相关（高分→亏损）,★
capex_to_dep,-0.0346285607515982,↓负相关（高分→亏损）,★
盈利能力_T,-0.0410287792223077,↓负相关（高分→亏损）,★
报价日价格,-0.042723357639044786,↓负相关（高分→亏损）,★
FCF_CAGR2,-0.04503012884676322,↓负相关（高分→亏损）,★
净利润,-0.05010989200081129,↓负相关（高分→亏损）,★
报价日_md,-0.05203395803253917,↓负相关（高分→亏损）,★
资本支出_加速,-0.05316494834837807,↓负相关（高分→亏损）,★
净利润_fcf_T1,-0.05711738521786797,↓负相关（高分→亏损）,★
PE_vs_同行中位,-0.062440973676130454,↓负相关（高分→亏损）,★
同行公司数,-0.07494373148557266,↓负相关（高分→亏损）,★
vol_ratio_20_60,-0.07712750069653207,↓负相关（高分→亏损）,★
