特征,系数(标准化后),影响,影响强度
FCF年份_T4,0.8807783394401578,↑正相关（高分→盈利）,★★★
折旧_T2,0.7906558833495448,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.7876444919001512,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.6925877350808637,↑正相关（高分→盈利）,★★★
研发费用率,0.6889227370633026,↑正相关（高分→盈利）,★★★
MA30,0.6662840091707736,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6409892598947049,↑正相关（高分→盈利）,★★★
营收_YoY,0.5484082192243602,↑正相关（高分→盈利）,★★★
营收_加速,0.53240917905168,↑正相关（高分→盈利）,★★★
同行市值_均值,0.5184274832912579,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4789568882531111,↑正相关（高分→盈利）,★★★
ROA,0.447389591033417,↑正相关（高分→盈利）,★★★
step1通过,0.4461946034498771,↑正相关（高分→盈利）,★★★
当前价,0.44481796862059003,↑正相关（高分→盈利）,★★★
FCF_YoY,0.41282324631807055,↑正相关（高分→盈利）,★★★
波动率_120d,0.40716299001435485,↑正相关（高分→盈利）,★★★
vol_ratio_60_250,0.3981048289503296,↑正相关（高分→盈利）,★★★
漂移率,0.3967085228491847,↑正相关（高分→盈利）,★★★
净利润_fcf_T1,0.37798906210087624,↑正相关（高分→盈利）,★★★
step2通过,0.3726224294472277,↑正相关（高分→盈利）,★★★
行业MA250,0.3635428319683116,↑正相关（高分→盈利）,★★★
资本支出_T1,0.36293693334522203,↑正相关（高分→盈利）,★★★
同行PE_中位,0.36220445717121397,↑正相关（高分→盈利）,★★★
价格标准差,0.3457309477621626,↑正相关（高分→盈利）,★★★
行业波动率_250d,0.338729164933085,↑正相关（高分→盈利）,★★★
市场_above_MA250,0.33549426917199376,↑正相关（高分→盈利）,★★★
报价日价格,0.3314890605550243,↑正相关（高分→盈利）,★★★
锁定价当前价,0.3314890605550243,↑正相关（高分→盈利）,★★★
营收_T2,0.32914605274267456,↑正相关（高分→盈利）,★★★
修正PE估值_通过,0.3209074403820626,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.31443444543854404,↑正相关（高分→盈利）,★★★
净利润_fcf_CAGR2,0.30327988662743016,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.28796914110781413,↑正相关（高分→盈利）,★★
产权比率,0.27633389267421393,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.2658560043766699,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.2658560043766699,↑正相关（高分→盈利）,★★
营收_T,0.2630461129396026,↑正相关（高分→盈利）,★★
PE_vs_同行均值,0.26262178473477876,↑正相关（高分→盈利）,★★
折旧_T4,0.2512943646353467,↑正相关（高分→盈利）,★★
行业PB_60d增长,0.2401760102236137,↑正相关（高分→盈利）,★★
营收_T4,0.23138960480153006,↑正相关（高分→盈利）,★★
行业PE_120d增长,0.2113974003014217,↑正相关（高分→盈利）,★★
净利润_fcf_T4,0.19557044063244064,↑正相关（高分→盈利）,★★
净资产增长,0.1952548466312817,↑正相关（高分→盈利）,★★
PE_vs_行业,0.19310232731145585,↑正相关（高分→盈利）,★★
年化收益_120d,0.1823173584697302,↑正相关（高分→盈利）,★★
盈利能力_T-3,0.1816314615504215,↑正相关（高分→盈利）,★★
总分_T,0.18149492019107316,↑正相关（高分→盈利）,★★
胜率_250d,0.17839412322836729,↑正相关（高分→盈利）,★★
年化收益_60d,0.17697762788747928,↑正相关（高分→盈利）,★★
NOPAT_YoY,0.17614725194026565,↑正相关（高分→盈利）,★★
营业利润_YoY,0.17614725194026565,↑正相关（高分→盈利）,★★
净利润_fcf_T2,0.1662418404047235,↑正相关（高分→盈利）,★★
营收_T1,0.1652031556764651,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.16500397301185157,↑正相关（高分→盈利）,★★
行业级别,0.16479270167688737,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.16064348539182538,↑正相关（高分→盈利）,★★
NOPAT_T1,0.15842061306701424,↑正相关（高分→盈利）,★★
营业利润_T1,0.15837302175990717,↑正相关（高分→盈利）,★★
盈利能力_T,0.15621439619960004,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.1480461864815172,↑正相关（高分→盈利）,★
盈利能力_delta_1y,0.14737952212993408,↑正相关（高分→盈利）,★
营收_3年斜率,0.14123566856155056,↑正相关（高分→盈利）,★
行情_时间匹配,0.13963530745495073,↑正相关（高分→盈利）,★
利息资本化率,0.13802293822994388,↑正相关（高分→盈利）,★
流动资产周转率,0.13290887735178683,↑正相关（高分→盈利）,★
无风险利率,0.123260510332153,↑正相关（高分→盈利）,★
溢价率,0.123260510332153,↑正相关（高分→盈利）,★
盈利能力_delta_4y,0.12199538135051828,↑正相关（高分→盈利）,★
总分_斜率,0.11943849459210701,↑正相关（高分→盈利）,★
price_vs_MA250,0.11888069361738715,↑正相关（高分→盈利）,★
区间收益_20d,0.11763091755071546,↑正相关（高分→盈利）,★
胜率_60d,0.11675461157415545,↑正相关（高分→盈利）,★
