feature,iv,coverage,n_bins,skip,lgb_rank,combined_rank
定增_解禁日,0.02215030653311725,1.0,2,False,999,1
个股PB,0.021712758208046995,1.0,4,False,999,2
波动率_20d,0.020449106407285603,1.0,4,False,999,3
成长能力_T-1,0.018062345326713643,1.0,2,False,999,4
总分_斜率,0.017461764441896344,1.0,2,False,999,5
净资产增长,0.01644166089251368,1.0,2,False,999,6
总分_T-1,0.01572368604233712,1.0,2,False,999,7
盈利能力_斜率,0.015574995115411857,1.0,2,False,999,8
年化收益_250d,0.014912517073860272,1.0,4,False,999,9
区间收益_250d,0.014912517073860272,1.0,4,False,999,10
ROA,0.014846616871726748,1.0,2,False,999,11
区间收益_120d,0.014102789713750279,1.0,4,False,999,12
营收增长2,0.013961709590868548,1.0,2,False,999,13
总营收增长,0.013961709590868548,1.0,2,False,999,14
波动率_60d,0.013809377765579422,1.0,4,False,999,15
smc_premium_discount_M,0.013482389194513736,1.0,5,False,999,16
年化收益_120d,0.013462648380202284,1.0,4,False,999,17
成长能力_斜率,0.013432089099055782,1.0,2,False,999,18
流动资产周转率,0.012798071501388607,1.0,2,False,999,19
总资产净利率,0.012798071501388607,1.0,2,False,999,20
净利润_fcf_T1,0.012569308815735656,1.0,4,False,999,21
smc_fvg_net_W,0.012246726055940583,1.0,5,False,999,22
ROE,0.012235298420422026,1.0,2,False,999,23
ROE摊薄,0.012235298420422026,1.0,2,False,999,24
波动率_120d,0.011984990263795191,1.0,4,False,999,25
净利润_fcf_T4,0.011719132854322703,1.0,4,False,999,26
sue_zscore,0.01166251477198494,1.0,5,False,999,27
mf_net_mf_ratio_20d,0.01157829247648157,1.0,5,False,999,28
漂移率,0.011493772411177704,1.0,4,False,999,29
波动率_250d,0.011395457883727879,1.0,4,False,999,30
资本支出_T,0.011247007709018887,1.0,4,False,999,31
营收_T1,0.010963054731601573,1.0,4,False,999,32
折旧_T,0.010870995716670648,1.0,4,False,999,33
行业波动率_250d,0.010839462703011369,1.0,4,False,999,34
sue_up_trend,0.010701571175706238,1.0,2,False,999,35
mf_main_net_ratio_5d,0.010499748206047075,1.0,5,False,999,36
营业利润_T4,0.010448929219077389,1.0,4,False,999,37
NOPAT_T4,0.010448929219077389,1.0,4,False,999,38
资本支出_T3,0.010148266271021384,1.0,4,False,999,39
盈利能力_T-1,0.010015264240086714,1.0,2,False,999,40
行业PB,0.009965183563863373,1.0,4,False,999,41
行业波动率_120d,0.009756898674504844,1.0,4,False,999,42
净利润_fcf_T3,0.009605056215426953,1.0,4,False,999,43
资本支出_T1,0.009566888283768005,1.0,4,False,999,44
行业MA60,0.009431064932522017,1.0,4,False,999,45
行业MA120,0.009369314306170443,1.0,4,False,999,46
FCF_T4,0.009337795766860996,1.0,4,False,999,47
sue_yoy_acc,0.009280778441099593,1.0,5,False,999,48
折旧_T2,0.00925328694755672,1.0,4,False,999,49
区间收益_60d,0.009127729274811449,1.0,4,False,999,50
NOPAT_T2,0.008973316370953228,1.0,4,False,999,51
营业利润_T2,0.008973316370953228,1.0,4,False,999,52
同行公司数,0.008913508015212984,1.0,4,False,999,53
资本支出_T2,0.008864211072365747,1.0,4,False,999,54
NOPAT_T1,0.008830551262835891,1.0,4,False,999,55
营业利润_T1,0.008830551262835891,1.0,4,False,999,56
营收_T2,0.00878002853884081,1.0,4,False,999,57
波动率,0.008776190058616181,1.0,4,False,999,58
折旧_T3,0.008733646810711464,1.0,4,False,999,59
净利润_fcf_T2,0.008467202474760136,1.0,4,False,999,60
总分_T-2,0.008414714682163114,1.0,2,False,999,61
smc_displacement_M,0.008320504246921783,1.0,5,False,999,62
营收_3年斜率,0.008199729885035959,1.0,4,False,999,63
营收_T4,0.008159331351713374,1.0,4,False,999,64
NOPAT_3年斜率,0.00812945176348698,1.0,4,False,999,65
个股PE,0.008080329029276155,1.0,4,False,999,66
同行PE_均值,0.008014792993293987,1.0,4,False,999,67
子场景通过数,0.007964602073445518,1.0,2,False,999,68
FCF_T,0.007677140854991913,1.0,4,False,999,69
sue_yoy_mean3,0.007673626565005395,1.0,5,False,999,70
折旧_T1,0.007641522259879044,1.0,4,False,999,71
NOPAT_T3,0.007637819364298045,1.0,4,False,999,72
营业利润_T3,0.007637819364298045,1.0,4,False,999,73
smc_displacement_W,0.007517232381153398,1.0,5,False,999,74
行业胜率_60d,0.0075021383132245385,1.0,4,False,999,75
胜率_60d,0.007390225610347139,1.0,4,False,999,76
行业年化收益_20d,0.007389962504850943,1.0,4,False,999,77
行业区间收益_20d,0.007389962504850943,1.0,4,False,999,78
营收_T,0.007364847316314285,1.0,4,False,999,79
已获利息倍数,0.007303956319392964,1.0,2,False,999,80
总资产周转率,0.007303956319392964,1.0,2,False,999,81
行业区间收益_60d,0.007272136277310412,1.0,4,False,999,82
行业年化收益_60d,0.007272136277310412,1.0,4,False,999,83
行业漂移率,0.007272136277310412,1.0,4,False,999,84
FCF_T3,0.0071873364423345795,1.0,4,False,999,85
折旧_T4,0.0071657019124268225,1.0,4,False,999,86
同行PB_中位,0.007129893785856596,1.0,4,False,999,87
行业MA20,0.007006162977432772,1.0,4,False,999,88
产权比率,0.006880329018861819,1.0,2,False,999,89
胜率_120d,0.00685664462423485,1.0,4,False,999,90
胜率_250d,0.006766069903718533,1.0,4,False,999,91
smc_premium_discount_W,0.006657824950818691,1.0,5,False,999,92
mf_main_net_ratio_20d,0.006656672937183355,1.0,5,False,999,93
个股PS,0.006550019559600287,1.0,4,False,999,94
年化收益_60d,0.0065293202492676455,1.0,4,False,999,95
净利润_fcf_T,0.006327949158888784,1.0,4,False,999,96
同行市值_均值,0.006279378375149194,1.0,4,False,999,97
区间收益_20d,0.006263608052014465,1.0,4,False,999,98
行业级别,0.006200323237968485,1.0,4,False,999,99
FCF_T1,0.006147756295603639,1.0,4,False,999,100
NOPAT_T,0.005995174959950611,1.0,4,False,999,101
营业利润_T,0.005995174959950611,1.0,4,False,999,102
行业MA250,0.0058731229701660705,1.0,4,False,999,103
资本支出_T4,0.005808689771470542,1.0,4,False,999,104
应收账款周转率,0.005685171751466618,1.0,2,False,999,105
smc_liqvoid_W,0.005605038778138406,1.0,2,False,999,106
sue_pos_streak,0.0053158148236709165,1.0,3,False,999,107
资产负债率,0.005312023450490123,1.0,2,False,999,108
行业波动率_总,0.005295211512549936,1.0,4,False,999,109
行业波动率_60d,0.005295211512549936,1.0,4,False,999,110
成长能力_T-3,0.005133794744260275,1.0,2,False,999,111
sue_recency_d,0.005040562113980529,1.0,5,False,999,112
同行PE_标准差,0.005005380776630445,1.0,4,False,999,113
同行PB_均值,0.0046772482056008455,1.0,4,False,999,114
smc_liqvoid,0.004658114905500212,1.0,3,False,999,115
利息资本化率,0.004268291539618428,1.0,2,False,999,116
同行市值_中位,0.004247219029385485,1.0,4,False,999,117
同行PE_中位,0.0040479256873314235,1.0,4,False,999,118
FCF_T2,0.003982143779914156,1.0,4,False,999,119
FCF_3年斜率,0.003924839400627129,1.0,4,False,999,120
行业胜率_20d,0.0039183182369025606,1.0,4,False,999,121
营收_T3,0.0038726684356245435,1.0,4,False,999,122
smc_premium_discount,0.003762329670995871,1.0,5,False,999,123
mf_sm_net_ratio_20d,0.0037329745685154184,1.0,5,False,999,124
chip_peak_dev,0.0037324440384403287,1.0,2,False,999,125
行业PE,0.0032476629180501065,1.0,4,False,999,126
行业波动率_20d,0.003246895447411047,1.0,4,False,999,127
年化收益_20d,0.0032032529151999386,1.0,4,False,999,128
溢价率上限,0.003144071533821186,1.0,2,False,999,129
行业胜率_120d,0.003084414377103841,1.0,4,False,999,130
chip_avg_cost_dev,0.0027261173118851177,1.0,2,False,999,131
同行PS_均值,0.0027260107148907465,1.0,4,False,999,132
存货周转率,0.002521726830326608,1.0,2,False,999,133
净利率,0.002521726830326608,1.0,2,False,999,134
盈利能力_T-2,0.0024992336086344523,1.0,2,False,999,135
行业年化收益_250d,0.0024416793585601178,1.0,4,False,999,136
行业区间收益_250d,0.0024416793585601178,1.0,4,False,999,137
行业胜率_250d,0.0024383641190020983,1.0,4,False,999,138
利润增长,0.002382265208041464,1.0,2,False,999,139
净利增长,0.002382265208041464,1.0,2,False,999,140
扣非净利增长,0.002382265208041464,1.0,2,False,999,141
胜率_20d,0.002326283549090061,1.0,4,False,999,142
chip_winner_rate,0.0022818732186653907,1.0,2,False,999,143
营收增长,0.0022748686242333826,1.0,2,False,999,144
盈利能力_T-4,0.0020529808469820763,1.0,2,False,999,145
smc_displacement,0.002026233351797678,1.0,5,False,999,146
smc_fvg_net_M,0.0019648066831414518,1.0,3,False,999,147
ROE增长,0.0018191210685182292,1.0,2,False,999,148
行业区间收益_120d,0.0017722277396614845,1.0,4,False,999,149
行业年化收益_120d,0.0017722277396614845,1.0,4,False,999,150
总分_T-3,0.0015659663790188044,1.0,2,False,999,151
同行PS_中位,0.0014653479263712545,1.0,4,False,999,152
mf_main_mom,0.0012685879150472232,1.0,5,False,999,153
成长能力_T-4,0.001248911916591462,1.0,2,False,999,154
nb_hold_chg_20d,0.0011885696609021468,1.0,2,False,999,155
smc_fvg_net,0.0010534757276305048,1.0,5,False,999,156
chip_cost_spread,0.0008985662100832162,1.0,2,False,999,157
smc_bos_M,0.0007979579425333159,1.0,2,False,999,158
sue_yoy,0.00076671021302911,1.0,5,False,999,159
smc_bos_W,0.0007666514542844327,1.0,2,False,999,160
nb_hold_chg_60d,0.0007614841501880937,1.0,2,False,999,161
nb_hold_ratio,0.0007547068093967248,1.0,2,False,999,162
总分_T-4,0.0007536417381925407,1.0,2,False,999,163
smc_bos,0.0006315906546727652,1.0,2,False,999,164
研发费用率,0.0006235629851755189,1.0,2,False,999,165
成长能力_T,0.0005769733297461446,1.0,2,False,999,166
smc_liq_sweep_M,0.0005284038815238367,1.0,2,False,999,167
smc_liq_sweep_W,0.0005268319115060913,1.0,2,False,999,168
sue_beat,0.0004673188216958382,1.0,2,False,999,169
速动比率,0.0003867360991400003,1.0,2,False,999,170
流动比率,0.00033064184240868774,1.0,2,False,999,171
盈利能力_T-3,0.00030713718037937726,1.0,2,False,999,172
毛利率,0.0003020822739886519,1.0,2,False,999,173
smc_liq_sweep,0.00023684695521762625,1.0,2,False,999,174
smc_liqvoid_M,0.00013255341685407902,1.0,2,False,999,175
盈利能力_T,7.172809826540132e-05,1.0,2,False,999,176
现金利息负债比,2.9728152144731286e-05,1.0,2,False,999,177
现金流动负债比,4.707390574475263e-06,1.0,2,False,999,178
总分_T,3.2262506796528594e-06,1.0,2,False,999,179
chip_concentration,9.577981182834375e-07,1.0,2,False,999,180
smc_ote,0.0,1.0,1,False,999,181
smc_ob_retest_M,0.0,1.0,1,False,999,182
smc_ote_W,0.0,1.0,1,False,999,183
smc_ob_retest_W,0.0,1.0,1,False,999,184
smc_ote_M,0.0,1.0,1,False,999,185
定增_承销商,0.0,1.0,0,False,999,186
定增_发行对象,0.0,1.0,0,False,999,187
smc_ob_retest,0.0,1.0,1,False,999,188
蒙特卡洛_通过,0.0,1.0,1,False,999,189
定增_定价原则,0.0,1.0,0,False,999,190
定增_发行方式,0.0,1.0,0,False,999,191
修正PE估值_通过,0.0,1.0,1,False,999,192
行业PE_通过,0.0,1.0,1,False,999,193
个股PE_通过,0.0,1.0,1,False,999,194
DCF估值_通过,0.0,1.0,1,False,999,195
step2通过,0.0,1.0,1,False,999,196
