feature,importance
报价日,196
市场波动率_120d,85
市场波动率比值,67
年化收益_250d,60
同行PE_中位,60
PB_vs_行业,59
盈利能力_delta_1y,58
报价日_md,57
价格标准差,57
总分_T-2,55
行业PB,55
净利润,51
同行市值_均值,48
总分_delta_1y,48
vol_ratio_20_60,48
FCF_conversion,46
个股PB,46
年化收益_120d,45
市场距离MA250,45
波动率_20d,44
行业年化收益_60d,43
数据天数,43
总分_delta_4y,43
行业胜率_120d,42
行业年化收益_20d,42
总分_T,42
波动率_60d,38
price_vs_MA20,37
总分_T-4,37
成长能力_T-2,37
price_vs_MA120,37
资本支出_YoY,37
price_vs_MA250,36
vol_ratio_60_250,36
capex_intensity,36
资本支出_CAGR2,35
行业PB_250d增长,33
盈利能力_T,33
同行公司数,32
FCF_T3,32
胜率_250d,31
行业波动率_250d,31
资本支出_T4,30
漂移率,30
成长能力_delta_4y,30
波动率_250d,30
同行市值_中位,29
PE_vs_同行均值,29
行业波动率_120d,29
PE_vs_行业,29
产权比率,28
盈利能力_斜率,28
市场胜率_120d,28
成长能力_delta_2y,28
总分_T-3,27
成长能力_T-3,27
行业年化收益_120d,26
营收_加速,25
波动率_120d,25
盈利能力_T-1,24
总分_delta_2y,24
盈利能力_delta_2y,23
成长能力_斜率,23
营收_T,23
price_vs_MA60,22
行业PE_120d增长,22
FCF_CAGR2,22
行业波动率_60d,22
折旧_T4,22
盈利能力_T-4,22
营收_T1,21
PS_vs_同行均值,21
同行PS_中位,21
PB_vs_同行均值,21
return_acceleration,21
总营收增长,20
报价日价格,20
波动率,20
资本支出_T3,20
应收账款周转率,20
行业MA250,20
FCF_T2,19
同行PE_标准差,19
同行PE_均值,19
净利润_fcf_CAGR2,19
同行PB_均值,18
NOPAT_YoY,18
总分_斜率,18
中位价,18
净利润_fcf_T1,18
成长能力_T,18
FCF_3年斜率,17
capex_to_dep,17
FCF_T1,17
现金利息负债比,17
胜率_20d,16
营收_T4,16
净利润_fcf_T3,16
个股PE,16
成长能力_delta_1y,16
MA30,16
营收_CAGR2,16
市场年化收益_120d,16
盈利能力_delta_4y,15
FCF_YoY,15
行业PE_60d增长,15
MA250,15
区间收益_20d,15
行业区间收益_60d,15
行业年化收益_250d,14
PB_vs_同行中位,14
行业胜率_20d,14
个股PS,14
区间收益_120d,14
研发费用率,14
MA20,13
ROA,13
盈利能力_T-3,13
资本支出_T1,13
FCF_T4,13
行业胜率_250d,13
报价日MA20,12
行业波动率_20d,12
同行PS_均值,12
盈利能力_T-2,12
行业PE_250d增长,12
行业PB_120d增长,12
毛利率,11
PE_vs_同行中位,11
同行PB_中位,11
营收_T3,11
年化收益_20d,11
NOPAT_margin,11
FCF_T,10
行业胜率_60d,10
营业利润_T1,10
胜率_120d,10
折旧_T,10
总分_T-1,10
FCF_加速,10
营收_3年斜率,10
行业PE,9
MA120,9
行业区间收益_20d,9
NOPAT_3年斜率,9
行业总天数,9
资本支出_T2,9
营业利润_T4,9
行业PB_60d增长,8
净利润_fcf_加速,8
营业利润_T,8
年化收益_60d,8
溢价率上限,8
净利润_fcf_T2,8
行业MA20,8
现金流动负债比,8
资本支出_加速,8
净利润_fcf_YoY,7
营收_YoY,7
胜率_60d,7
营业利润_T2,7
区间收益_250d,7
邀请日,7
营业利润_T3,7
折旧_T2,7
行业MA60,7
行业MA120,7
已获利息倍数,7
利息资本化率,7
NOPAT_CAGR2,6
ROE,6
营收_T2,6
均价_all,6
成长能力_T-4,6
资本支出_T,6
FCF_margin,6
行业漂移率,5
流动资产周转率,5
行业区间收益_250d,5
流动比率,5
总资产周转率,5
净利润_fcf_T4,5
折旧_T3,5
营业利润_CAGR2,4
NOPAT_加速,4
行业区间收益_120d,4
速动比率,4
ROE增长,3
净资产增长,3
利润增长,3
存货周转率,3
行业波动率_总,3
资产负债率,3
锁定价当前价,3
NOPAT_T4,3
MA60,3
折旧_T1,3
区间收益_60d,2
成长能力_T-1,2
营业利润_加速,2
当前价,2
ROE摊薄,2
净利增长,2
营业利润_YoY,2
净利润_fcf_T,1
总资产净利率,1
FCF年份_T4,1
营收增长2,1
NOPAT_T1,1
NOPAT_T2,1
NOPAT_T3,1
FCF年份_T3,0
FCF年份_T2,0
FCF年份_T,0
FCF年份_T1,0
NOPAT_T,0
净利率,0
营收增长,0
扣非净利增长,0
