feature,iv,coverage,n_bins,skip,lgb_rank,combined_rank
行业idx_bias3_bfq,0.009751330033325309,1.0,5,False,999,291
k_BODY_RATIO,0.009720596033589289,1.0,5,False,999,292
总分_delta_4y,0.009690679279500151,1.0,4,False,999,293
行业idx_emv_bfq,0.009672310861400432,1.0,5,False,999,294
margin_rzjme_20d,0.00961818591560527,1.0,2,False,999,295
行业idx_psy_bfq,0.009578747490392388,1.0,5,False,999,296
smc_premium_discount_W,0.009384930671438127,1.0,5,False,999,297
repurchase_count_1y,0.009170578270783441,1.0,2,False,999,298
ret_kurt_60,0.009087536838570335,1.0,5,False,999,299
KDJ_W_J,0.009087536838570335,1.0,5,False,999,300
vol_ratio_20,0.00895228000173311,1.0,5,False,999,301
sue_up_trend,0.008919401070475456,1.0,2,False,999,302
营收_T1,0.008731288855490998,1.0,5,False,999,303
盈利能力_斜率,0.008538083498778907,1.0,5,False,999,304
资本支出_加速,0.008446786297752596,1.0,4,False,999,305
折旧_T1,0.008407059256002804,1.0,5,False,999,306
corr_ret_vol_20,0.008394120085871957,1.0,5,False,999,307
行业idx_rsi_bfq_6,0.00836008845023129,1.0,5,False,999,308
amount_ratio_20,0.008111537000987464,1.0,5,False,999,309
smc_fvg_net,0.008084016057046083,1.0,5,False,999,310
资本支出_CAGR2,0.007976878289301494,1.0,4,False,999,311
营收_T,0.007875321970386632,1.0,5,False,999,312
行业idx_kdj_bfq,0.007864044499915648,1.0,5,False,999,313
行业idx_madpo_bfq,0.007862854399649594,1.0,5,False,999,314
总分_T-3,0.007807390377058635,1.0,5,False,999,315
RSI_W,0.007735158327700454,1.0,5,False,999,316
KDJ_M_K,0.0077341758075773395,1.0,5,False,999,317
净利润_fcf_加速,0.007680921747540339,1.0,4,False,999,318
产权比率,0.0076096442065193845,1.0,5,False,999,319
FCF_YoY,0.007197264178668682,1.0,5,False,999,320
行业idx_dmi_adxr_bfq,0.007063525918265047,1.0,5,False,999,321
行业idx_roc_bfq,0.007041009721068081,1.0,5,False,999,322
beta_mkt_120,0.0067282749084186175,1.0,5,False,999,323
行业idx_trix_bfq,0.006608152674867803,1.0,5,False,999,324
corr_ret_vol_5,0.006525419665279436,1.0,5,False,999,325
行业idx_macd_dea_bfq,0.0063429342244833205,1.0,5,False,999,326
FCF_conversion,0.006335922686875184,1.0,5,False,999,327
roa_industry_rank,0.00621076759940713,1.0,4,False,999,328
折旧_T2,0.006075029084943485,1.0,4,False,999,329
turnover_trend_250_60,0.005987053232731605,1.0,5,False,999,330
营业利润_加速,0.005886203072081725,1.0,4,False,999,331
NOPAT_加速,0.005886203072081725,1.0,4,False,999,332
行业idx_dfma_dif_bfq,0.005858639344032472,1.0,5,False,999,333
smc_fvg_net_M,0.005852577190856335,1.0,3,False,999,334
研发费用率,0.005491341152321114,1.0,2,False,999,335
资产负债率,0.005480705553357028,1.0,5,False,999,336
smc_liqvoid_M,0.005448332020149386,1.0,2,False,999,337
corr_ret_vol_60,0.005349722736240285,1.0,5,False,999,338
turnover_skew_20,0.005318286168390301,1.0,5,False,999,339
应收账款周转率,0.004990470736014358,1.0,5,False,999,340
行业idx_brar_br_bfq,0.004814066624622251,1.0,5,False,999,341
已获利息倍数,0.00460248545733308,1.0,5,False,999,342
RSI_24,0.004339366952175068,1.0,5,False,999,343
FCF_3年斜率,0.0043305198494933556,1.0,4,False,999,344
KDJ_W_D,0.004285462518844875,1.0,5,False,999,345
成长能力_delta_4y,0.004195333037319032,1.0,4,False,999,346
定增_解禁日,0.004098465569224888,1.0,2,False,999,347
pledge_ratio_chg,0.004097804218514535,1.0,2,False,999,348
KDJ_K,0.003979661333754091,1.0,5,False,999,349
nb_hold_chg_20d,0.0038170621263385975,1.0,2,False,999,350
nb_hold_chg_60d,0.003725037033020091,1.0,2,False,999,351
