feature,importance
报价日,181
市场波动率_120d,115
市场波动率比值,68
vol_ratio_60_250,65
波动率_60d,64
波动率_250d,59
盈利能力_delta_1y,58
同行市值_均值,56
price_vs_MA20,53
price_vs_MA250,51
行业年化收益_60d,51
个股PB,50
行业PB,49
同行PE_中位,49
FCF_T3,48
报价日_md,45
FCF_conversion,45
行业PB_250d增长,45
总分_delta_1y,44
price_vs_MA120,43
总分_T,43
行业胜率_120d,42
净资产增长,42
PB_vs_同行均值,42
市场距离MA250,41
总分_T-4,40
净利润,40
价格标准差,39
行业波动率_250d,39
同行PE_均值,38
年化收益_120d,36
行业PE_60d增长,35
FCF_YoY,35
行业年化收益_20d,35
盈利能力_T-1,35
资本支出_YoY,34
MA250,33
总分_T-3,33
流动比率,33
同行市值_中位,33
PB_vs_行业,33
成长能力_delta_2y,32
漂移率,32
营收_T,32
盈利能力_T,31
年化收益_20d,31
营收_加速,31
行业波动率_120d,31
年化收益_250d,30
capex_intensity,30
研发费用率,29
行业区间收益_60d,29
vol_ratio_20_60,29
总资产周转率,28
区间收益_20d,28
数据天数,27
市场胜率_120d,27
成长能力_T-1,27
毛利率,27
同行PS_中位,27
FCF_T1,27
利息资本化率,26
盈利能力_delta_4y,26
区间收益_60d,26
报价日价格,26
行业年化收益_120d,25
现金流动负债比,25
FCF_加速,25
行业波动率_20d,25
波动率_20d,24
资本支出_T3,24
行业年化收益_250d,24
营收_T1,24
成长能力_斜率,23
MA20,23
MA30,22
总分_delta_2y,22
capex_to_dep,22
行业波动率_60d,22
个股PS,21
胜率_120d,21
PE_vs_同行均值,21
PB_vs_同行中位,21
PE_vs_行业,21
PE_vs_同行中位,21
现金利息负债比,21
成长能力_delta_1y,20
盈利能力_斜率,20
成长能力_T-4,20
总分_T-2,20
成长能力_T-2,20
中位价,20
净利率,20
同行PB_均值,20
利润增长,19
流动资产周转率,19
年化收益_60d,19
总分_T-1,19
return_acceleration,19
波动率_120d,18
市场年化收益_120d,18
盈利能力_T-3,18
行业PE,18
资本支出_CAGR2,18
净利增长,17
胜率_60d,17
折旧_T,17
MA120,17
个股PE,17
NOPAT_margin,17
同行公司数,17
ROE,17
行业PB_120d增长,16
营收_YoY,16
资本支出_T4,16
资产负债率,16
净利润_fcf_T4,16
波动率,16
营业利润_T4,15
行业MA250,15
成长能力_delta_4y,15
净利润_fcf_CAGR2,15
报价日MA20,14
总分_delta_4y,14
速动比率,14
成长能力_T,14
NOPAT_加速,14
营收_CAGR2,14
应收账款周转率,14
营收增长,14
FCF_T,14
胜率_250d,14
盈利能力_T-4,14
行业级别,14
锁定价当前价,14
已获利息倍数,13
区间收益_120d,13
FCF_T2,13
存货周转率,13
同行PE_标准差,13
price_vs_MA60,13
行业MA120,13
行业PE_120d增长,12
资本支出_T2,12
FCF_T4,12
ROE增长,12
行业总天数,12
折旧_T4,12
行业PB_60d增长,11
行业胜率_20d,11
MA60,11
行业MA20,11
同行PB_中位,11
NOPAT_YoY,11
营收_T2,10
成长能力_T-3,10
行业区间收益_20d,10
行业PE_250d增长,10
净利润_fcf_YoY,10
资本支出_加速,10
净利润_fcf_T3,10
净利润_fcf_T,10
盈利能力_delta_2y,9
行业区间收益_250d,9
胜率_20d,9
折旧_T3,9
资本支出_T1,9
营业利润_T1,9
营收_3年斜率,9
溢价率上限,9
FCF_3年斜率,9
ROA,8
当前价,8
扣非净利增长,8
总营收增长,8
同行PS_均值,8
均价_all,8
营业利润_T2,7
总分_斜率,7
折旧_T2,7
行业区间收益_120d,7
行业胜率_250d,7
行业胜率_60d,7
营业利润_T3,7
净利润_fcf_T2,6
营收_T3,6
盈利能力_T-2,6
资本支出_T,6
PS_vs_同行均值,6
营收增长2,6
NOPAT_3年斜率,5
FCF_margin,5
区间收益_250d,5
邀请日,5
营业利润_T,5
行业波动率_总,5
净利润_fcf_T1,5
营收_T4,5
折旧_T1,5
NOPAT_CAGR2,4
产权比率,4
NOPAT_T3,3
总资产净利率,3
FCF年份_T,3
净利润_fcf_加速,3
营业利润_加速,2
ROE摊薄,2
FCF_CAGR2,2
行业漂移率,2
FCF年份_T2,1
NOPAT_T,1
NOPAT_T2,1
营业利润_YoY,1
行业MA60,1
营业利润_CAGR2,1
FCF年份_T1,0
NOPAT_T4,0
FCF年份_T3,0
NOPAT_T1,0
FCF年份_T4,0
