特征,系数(标准化后),影响,影响强度
折旧_T2,1.2554680791112502,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.9427396901341843,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.7808066957892638,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.7271710483148803,↑正相关（高分→盈利）,★★★
营收_YoY,0.7212190691726242,↑正相关（高分→盈利）,★★★
总分_T-4,0.6674071691344292,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6642067368720214,↑正相关（高分→盈利）,★★★
总分_斜率,0.6521733452492493,↑正相关（高分→盈利）,★★★
FCF_YoY,0.5925739261147265,↑正相关（高分→盈利）,★★★
当前价,0.5903664684980162,↑正相关（高分→盈利）,★★★
营收_加速,0.5737848314771377,↑正相关（高分→盈利）,★★★
锁定价当前价,0.564493239460682,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.5565474730584719,↑正相关（高分→盈利）,★★★
PB_vs_同行均值,0.5463997464276708,↑正相关（高分→盈利）,★★★
ROA,0.5251261020899327,↑正相关（高分→盈利）,★★★
同行PE_中位,0.5146627954757853,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.49735321261055515,↑正相关（高分→盈利）,★★★
营收_T1,0.4969512198876066,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4688408367065219,↑正相关（高分→盈利）,★★★
净资产增长,0.4578530626064962,↑正相关（高分→盈利）,★★★
营收_T2,0.4560714207574577,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.45186996262484586,↑正相关（高分→盈利）,★★★
MA30,0.4372993417164155,↑正相关（高分→盈利）,★★★
价格标准差,0.4320653615173237,↑正相关（高分→盈利）,★★★
PE_vs_同行均值,0.426873569302257,↑正相关（高分→盈利）,★★★
return_acceleration,0.4238648888379253,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.4113415890191042,↑正相关（高分→盈利）,★★★
报价日,0.37912878538979333,↑正相关（高分→盈利）,★★★
成长能力_T,0.3538532918836167,↑正相关（高分→盈利）,★★★
营收_T,0.35167714620377766,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.3370082588608003,↑正相关（高分→盈利）,★★★
年化收益_60d,0.3204303321145539,↑正相关（高分→盈利）,★★★
总分_T-3,0.28259487122607624,↑正相关（高分→盈利）,★★
盈利能力_delta_2y,0.28223317692609273,↑正相关（高分→盈利）,★★
vol_ratio_60_250,0.273184672818178,↑正相关（高分→盈利）,★★
营收_3年斜率,0.2634444614564313,↑正相关（高分→盈利）,★★
产权比率,0.25544214055906067,↑正相关（高分→盈利）,★★
同行市值_均值,0.25515980443701863,↑正相关（高分→盈利）,★★
速动比率,0.25416635068135274,↑正相关（高分→盈利）,★★
漂移率,0.2524562350286114,↑正相关（高分→盈利）,★★
净利润_fcf_CAGR2,0.2521059750423468,↑正相关（高分→盈利）,★★
波动率_120d,0.23348004449166598,↑正相关（高分→盈利）,★★
市场胜率_120d,0.2263828683863223,↑正相关（高分→盈利）,★★
营业利润_T1,0.22214666524402157,↑正相关（高分→盈利）,★★
NOPAT_T1,0.22002549293380683,↑正相关（高分→盈利）,★★
行业MA250,0.21683950442089805,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.20242981811538724,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.20242981811538724,↑正相关（高分→盈利）,★★
资本支出_T1,0.19068855588298067,↑正相关（高分→盈利）,★★
MA20,0.18556562953382408,↑正相关（高分→盈利）,★★
同行PS_均值,0.18405601465835802,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.18304753049050035,↑正相关（高分→盈利）,★★
同行PE_标准差,0.18094414314660986,↑正相关（高分→盈利）,★★
成长能力_T-1,0.18079759479815904,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.17372337263445156,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.17051807213850315,↑正相关（高分→盈利）,★★
流动资产周转率,0.16022873686742578,↑正相关（高分→盈利）,★★
胜率_250d,0.15815917428068904,↑正相关（高分→盈利）,★★
行业波动率_60d,0.15721724172542742,↑正相关（高分→盈利）,★★
行业波动率_总,0.15721724172542742,↑正相关（高分→盈利）,★★
price_vs_MA60,0.1496084061125994,↑正相关（高分→盈利）,★
行业PE_120d增长,0.14732530987156298,↑正相关（高分→盈利）,★
波动率,0.14717572168642307,↑正相关（高分→盈利）,★
营业利润_YoY,0.13981856847563803,↑正相关（高分→盈利）,★
NOPAT_YoY,0.13921366040495703,↑正相关（高分→盈利）,★
波动率_20d,0.13504134436908227,↑正相关（高分→盈利）,★
行业PB_60d增长,0.1307492940522602,↑正相关（高分→盈利）,★
利息资本化率,0.13037643622420822,↑正相关（高分→盈利）,★
研发费用率,0.1301287753596525,↑正相关（高分→盈利）,★
行业MA60,0.11764574411931267,↑正相关（高分→盈利）,★
MA250,0.11748471647205938,↑正相关（高分→盈利）,★
年化收益_20d,0.11098347373908865,↑正相关（高分→盈利）,★
折旧_T,0.11040047807404284,↑正相关（高分→盈利）,★
净利润_fcf_T2,0.10929527558629606,↑正相关（高分→盈利）,★
利润增长,0.10714464036775787,↑正相关（高分→盈利）,★
区间收益_120d,0.10628804835290627,↑正相关（高分→盈利）,★
成长能力_delta_4y,0.10514452021168809,↑正相关（高分→盈利）,★
净利润_fcf_T4,0.09922301889938455,↑正相关（高分→盈利）,★
MA60,0.09753496938629126,↑正相关（高分→盈利）,★
区间收益_20d,0.09640049980681614,↑正相关（高分→盈利）,★
ROE增长,0.07822437011384767,↑正相关（高分→盈利）,★
资本支出_YoY,0.06993578368099657,↑正相关（高分→盈利）,★
行业波动率_250d,0.06951329419924701,↑正相关（高分→盈利）,★
邀请日,0.06883950439719978,↑正相关（高分→盈利）,★
总分_delta_4y,0.06343213342940256,↑正相关（高分→盈利）,★
ROE摊薄,0.046445023857808056,↑正相关（高分→盈利）,★
ROE,0.046445023857808056,↑正相关（高分→盈利）,★
报价日_md,0.04222079222776943,↑正相关（高分→盈利）,★
FCF_margin,0.040752250918917245,↑正相关（高分→盈利）,★
行业总天数,0.03485007058275256,↑正相关（高分→盈利）,★
NOPAT_T,0.034096829869205744,↑正相关（高分→盈利）,★
成长能力_delta_1y,0.03366928413856381,↑正相关（高分→盈利）,★
营业利润_T4,0.03336881031966434,↑正相关（高分→盈利）,★
NOPAT_T4,0.03336881031966434,↑正相关（高分→盈利）,★
行业漂移率,0.03299278723028334,↑正相关（高分→盈利）,★
行业年化收益_60d,0.03299278723028334,↑正相关（高分→盈利）,★
行业PE,0.032565792510094005,↑正相关（高分→盈利）,★
盈利能力_T-3,0.03219166918129731,↑正相关（高分→盈利）,★
