特征,系数(标准化后),影响,影响强度
折旧_T2,1.2490034977656737,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.8845358593792872,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.8595441816286539,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.722774362013287,↑正相关（高分→盈利）,★★★
营收_YoY,0.6659414614002486,↑正相关（高分→盈利）,★★★
总分_T-4,0.6334216390248959,↑正相关（高分→盈利）,★★★
总分_斜率,0.6286999868607812,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6209470211360997,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.6104211393920354,↑正相关（高分→盈利）,★★★
营收_加速,0.600520473441421,↑正相关（高分→盈利）,★★★
当前价,0.5975014024346887,↑正相关（高分→盈利）,★★★
PB_vs_同行均值,0.5761443550471018,↑正相关（高分→盈利）,★★★
FCF_YoY,0.5574523233761703,↑正相关（高分→盈利）,★★★
同行PE_中位,0.5434334186918441,↑正相关（高分→盈利）,★★★
锁定价当前价,0.5038398057485017,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4898844129585495,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.48712349157840196,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.4739209330606457,↑正相关（高分→盈利）,★★★
PE_vs_同行均值,0.4730732212573398,↑正相关（高分→盈利）,★★★
ROA,0.4599929739760906,↑正相关（高分→盈利）,★★★
净资产增长,0.4461174637309682,↑正相关（高分→盈利）,★★★
市场_above_MA250,0.4428341414842455,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.43156629698868326,↑正相关（高分→盈利）,★★★
价格标准差,0.43098910005324925,↑正相关（高分→盈利）,★★★
营收_T1,0.42751143022640475,↑正相关（高分→盈利）,★★★
营收_T2,0.42034727486436335,↑正相关（高分→盈利）,★★★
return_acceleration,0.4148115310421916,↑正相关（高分→盈利）,★★★
报价日,0.39769935732323203,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.38748989644441423,↑正相关（高分→盈利）,★★★
MA30,0.367121931067619,↑正相关（高分→盈利）,★★★
营收_T,0.32879957854197733,↑正相关（高分→盈利）,★★★
成长能力_T,0.32586005631604953,↑正相关（高分→盈利）,★★★
盈利能力_delta_2y,0.3176253835413381,↑正相关（高分→盈利）,★★★
年化收益_60d,0.31149420430049257,↑正相关（高分→盈利）,★★★
vol_ratio_60_250,0.30288826005137653,↑正相关（高分→盈利）,★★★
行业MA250,0.28478274158096323,↑正相关（高分→盈利）,★★
总分_T-3,0.2761864096655665,↑正相关（高分→盈利）,★★
波动率_120d,0.27415726204711877,↑正相关（高分→盈利）,★★
产权比率,0.24786502634091892,↑正相关（高分→盈利）,★★
同行市值_均值,0.24576426050207886,↑正相关（高分→盈利）,★★
营收_3年斜率,0.24446665222677524,↑正相关（高分→盈利）,★★
净利润_fcf_CAGR2,0.24333551161369218,↑正相关（高分→盈利）,★★
MA20,0.22922733455967848,↑正相关（高分→盈利）,★★
漂移率,0.22901938851939904,↑正相关（高分→盈利）,★★
速动比率,0.22549482430341894,↑正相关（高分→盈利）,★★
营业利润_T1,0.22066216170243277,↑正相关（高分→盈利）,★★
NOPAT_T1,0.21886290744521975,↑正相关（高分→盈利）,★★
price_vs_MA60,0.20076186968599893,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.1832600241142695,↑正相关（高分→盈利）,★★
