feature,importance
报价日,203
市场波动率_120d,118
总分_delta_1y,65
波动率_60d,63
市场波动率比值,61
vol_ratio_60_250,60
同行PE_中位,57
盈利能力_delta_1y,56
行业PB,50
个股PB,50
同行市值_均值,49
行业年化收益_60d,49
市场距离MA250,48
净利润,48
净资产增长,47
price_vs_MA120,47
总分_T,46
FCF_T3,43
PB_vs_同行均值,43
行业胜率_120d,41
价格标准差,40
总分_T-4,39
行业PB_250d增长,39
MA250,39
price_vs_MA250,38
波动率_250d,38
资本支出_YoY,37
price_vs_MA20,37
盈利能力_T,35
同行市值_中位,35
PB_vs_行业,35
行业年化收益_20d,35
行业波动率_250d,35
行业PE_60d增长,34
FCF_conversion,34
PE_vs_行业,34
毛利率,34
成长能力_delta_2y,33
capex_to_dep,33
年化收益_250d,33
FCF_YoY,32
同行PE_均值,32
流动比率,31
行业波动率_120d,31
成长能力_T-1,31
漂移率,31
总分_T-3,31
营收_T,31
报价日_md,30
FCF_T2,30
vol_ratio_20_60,30
年化收益_120d,29
研发费用率,28
利息资本化率,28
营收_加速,27
MA20,27
总分_delta_2y,26
资本支出_T3,26
区间收益_20d,26
市场胜率_120d,26
盈利能力_T-1,25
数据天数,25
现金利息负债比,25
波动率_20d,25
行业年化收益_250d,24
MA120,24
胜率_250d,24
区间收益_60d,24
同行PB_均值,24
年化收益_20d,23
营收_T1,23
报价日价格,23
折旧_T,22
市场年化收益_120d,22
盈利能力_delta_4y,22
总分_T-2,22
同行PS_中位,21
PB_vs_同行中位,21
行业波动率_20d,21
FCF_加速,21
ROE增长,21
成长能力_T-2,20
行业年化收益_120d,20
NOPAT_YoY,20
return_acceleration,20
盈利能力_斜率,20
个股PE,20
年化收益_60d,19
已获利息倍数,19
PE_vs_同行中位,19
区间收益_120d,19
总资产周转率,19
总分_T-1,19
同行PE_标准差,19
利润增长,18
胜率_120d,18
MA30,18
资本支出_CAGR2,18
成长能力_delta_1y,18
成长能力_T,17
盈利能力_T-3,17
资本支出_加速,17
净利率,17
速动比率,17
营收_CAGR2,16
capex_intensity,16
净利润_fcf_CAGR2,16
流动资产周转率,16
行业区间收益_60d,16
营业利润_T4,15
波动率,15
成长能力_T-3,15
净利润_fcf_T1,15
成长能力_斜率,15
行业PB_120d增长,14
资产负债率,14
存货周转率,14
总分_delta_4y,14
price_vs_MA60,14
盈利能力_T-4,14
溢价率上限,14
资本支出_T1,14
报价日MA20,14
成长能力_delta_4y,14
PE_vs_同行均值,14
净利增长,14
FCF_T1,13
营收_T2,13
净利润_fcf_T4,13
ROE,12
锁定价当前价,12
行业总天数,12
营收_3年斜率,12
胜率_20d,12
中位价,12
营业利润_T3,12
行业PE,12
同行公司数,11
同行PB_中位,11
现金流动负债比,11
胜率_60d,11
MA60,11
个股PS,11
均价_all,11
营收增长,11
行业波动率_60d,11
盈利能力_delta_2y,11
折旧_T2,11
行业PB_60d增长,11
营收_YoY,10
区间收益_250d,10
折旧_T4,10
FCF_T,10
波动率_120d,10
营业利润_T2,10
NOPAT_3年斜率,10
行业胜率_60d,10
同行PS_均值,10
应收账款周转率,10
NOPAT_加速,10
行业MA120,10
NOPAT_margin,10
总分_斜率,9
资本支出_T2,9
折旧_T1,9
行业区间收益_20d,9
总营收增长,9
ROA,9
行业MA250,9
行业PE_120d增长,8
行业区间收益_120d,8
PS_vs_同行均值,8
营收增长2,8
净利润_fcf_T2,8
折旧_T3,8
行业MA20,8
当前价,8
行业PE_250d增长,7
行业级别,7
净利润_fcf_YoY,7
扣非净利增长,7
营业利润_T,7
成长能力_T-4,7
NOPAT_CAGR2,7
盈利能力_T-2,6
行业MA60,6
邀请日,6
资本支出_T4,6
营收_T3,6
行业胜率_250d,6
行业区间收益_250d,6
行业胜率_20d,5
营收_T4,5
净利润_fcf_T3,5
净利润_fcf_加速,5
资本支出_T,5
FCF_3年斜率,5
产权比率,5
NOPAT_T1,4
营业利润_T1,4
FCF_margin,4
行业漂移率,4
行业波动率_总,4
FCF_T4,4
净利润_fcf_T,4
营业利润_YoY,3
营业利润_CAGR2,3
总资产净利率,3
子场景通过数,3
NOPAT_T4,3
NOPAT_T2,3
NOPAT_T3,3
ROE摊薄,3
营业利润_加速,3
FCF_CAGR2,2
NOPAT_T,2
最新交易日,2
step2通过,2
个股PE_通过,1
蒙特卡洛_通过,1
FCF年份_T1,1
修正PE估值_通过,1
DCF估值_通过,1
FCF年份_T,1
FCF年份_T2,1
FCF年份_T3,0
行业PE_通过,0
FCF年份_T4,0
市场_above_MA250,0
