feature,importance
报价日,190
市场波动率_120d,113
市场波动率比值,68
波动率_60d,60
vol_ratio_60_250,58
盈利能力_delta_1y,57
行业年化收益_60d,56
总分_delta_1y,54
同行PE_中位,53
个股PB,51
行业PB,50
净资产增长,50
同行市值_均值,48
波动率_250d,48
总分_T,47
价格标准差,47
净利润_x,45
price_vs_MA20,45
行业波动率_250d,43
PB_vs_同行均值,43
price_vs_MA250,43
行业PB_250d增长,42
资本支出_YoY,41
FCF_T3,41
price_vs_MA120,41
行业胜率_120d,41
同行市值_中位,39
市场距离MA250,39
年化收益_250d,37
营收_T,34
盈利能力_T,34
成长能力_delta_2y,34
MA250,33
FCF_conversion,33
行业PE_60d增长,33
数据天数,32
FCF_加速,32
vol_ratio_20_60,31
营收_加速,31
报价日_md,31
成长能力_T-2,31
总分_T-4,31
PB_vs_行业,31
盈利能力_T-1,30
行业年化收益_20d,30
同行PE_均值,30
总分_T-3,29
FCF_YoY,28
return_acceleration,28
PE_vs_同行均值,28
报价日价格,27
年化收益_20d,27
区间收益_20d,27
总资产周转率,27
同行PS_中位,26
漂移率,26
行业年化收益_250d,26
市场年化收益_120d,26
流动比率,26
毛利率,26
capex_to_dep,25
成长能力_T-1,25
区间收益_60d,25
行业年化收益_120d,25
年化收益_120d,25
资本支出_T3,25
资本支出_T4,24
总分_T-1,24
行业区间收益_60d,24
capex_intensity,24
同行PB_均值,24
净利率,24
现金利息负债比,24
行业波动率_120d,24
PE_vs_行业,24
利息资本化率,23
行业波动率_20d,23
行业波动率_60d,23
报价日MA20,23
总分_delta_2y,23
MA20,23
个股PE,22
折旧_T,22
FCF_T2,22
流动资产周转率,22
行业PE,22
胜率_120d,22
速动比率,21
成长能力_delta_1y,20
盈利能力_T-4,19
利润增长,19
营收增长,19
盈利能力_delta_4y,19
营收_T1,19
研发费用率,19
资产负债率,19
MA120,18
已获利息倍数,18
盈利能力_斜率,18
盈利能力_T-3,18
PE_vs_同行中位,17
营收_CAGR2,17
存货周转率,17
price_vs_MA60,17
FCF_T1,17
总分_T-2,17
年化收益_60d,17
FCF_3年斜率,16
总分_delta_4y,16
均价_all,16
PB_vs_同行中位,16
胜率_250d,16
中位价,16
个股PS,16
资本支出_CAGR2,16
成长能力_T-4,15
胜率_20d,15
成长能力_T,15
FCF_T,15
市场胜率_120d,15
ROA,15
净利润_fcf_YoY,15
PS_vs_同行均值,14
波动率,14
净利增长,14
行业区间收益_20d,14
成长能力_delta_4y,14
胜率_60d,14
区间收益_120d,14
成长能力_T-3,13
营收_YoY,13
ROE,13
成长能力_斜率,13
现金流动负债比,13
同行PB_中位,13
营业利润_T4,13
营收_T2,13
MA30,13
FCF_T4,13
同行PE_标准差,12
应收账款周转率,12
波动率_20d,12
MA60,12
NOPAT_加速,12
净利润_fcf_CAGR2,12
净利润_fcf_T3,12
行业MA250,12
行业PB_60d增长,12
营收_3年斜率,11
资本支出_加速,11
折旧_T4,11
ROE增长,11
行业PB_120d增长,11
同行公司数,11
NOPAT_YoY,11
区间收益_250d,10
盈利能力_delta_2y,10
波动率_120d,10
同行PS_均值,10
总营收增长,10
资本支出_T1,10
当前价,10
邀请日,9
行业区间收益_250d,9
行业总天数,9
行业级别,9
FCF_margin,9
净利润_fcf_T4,9
营业利润_T2,8
营业利润_T,8
行业PE_120d增长,8
行业PE_250d增长,8
净利润_fcf_T1,8
净利润_fcf_T2,7
锁定价当前价,7
营业利润_T3,7
行业MA120,7
溢价率上限,7
行业MA20,6
行业胜率_250d,6
行业胜率_60d,6
行业胜率_20d,6
扣非净利增长,6
盈利能力_T-2,6
折旧_T2,6
折旧_T1,6
净利润_fcf_T,6
营收_T3,6
NOPAT_margin,6
NOPAT_T3,6
行业区间收益_120d,5
产权比率,5
行业波动率_总,5
行业MA60,5
资本支出_T2,5
个股PE_通过,4
总分_斜率,4
营业利润_T1,4
折旧_T3,4
营收_T4,4
营业利润_YoY,4
FCF_CAGR2,4
营收增长2,4
营业利润_加速,3
资本支出_T,3
净利润_fcf_加速,3
NOPAT_T4,3
总资产净利率,2
行业漂移率,2
ROE摊薄,2
DCF估值_通过,2
NOPAT_3年斜率,2
FCF年份_T,2
最新交易日,2
NOPAT_CAGR2,2
修正PE估值_通过,2
子场景通过数,1
蒙特卡洛_通过,1
NOPAT_T1,1
NOPAT_T2,1
FCF年份_T2,1
行业PE_通过,1
step2通过,1
step3通过,0
report_year,0
总资产,0
step1通过,0
Beta,0
sw_l2_name,0
sw_l2_code,0
sw_l1_code,0
sw_l3_name,0
市场_above_MA250,0
sw_l3_code,0
市场指数_通过,0
sw_l1_name,0
财报年份,0
定增建议参与,0
溢价率下限,0
有效阈值数,0
参数构造_通过,0
反向推算_通过,0
利润总额,0
营业利润,0
营业收入,0
营业总收入,0
无形资产占比,0
商誉占总资产比,0
流动比率_bs,0
资产负债比,0
应付债券,0
长期借款,0
短期借款,0
总股本,0
固定资产,0
无形资产,0
商誉,0
应收账款,0
存货,0
货币资金,0
股东权益,0
非流动负债,0
流动负债,0
总负债,0
非流动资产,0
流动资产,0
EBITDA,0
营业利润率_is,0
净利润率_is,0
销售费用率,0
净利润_y,0
归母净利润,0
sell_exp,0
admin_exp,0
营收增长率,0
净债务,0
净资产负债表,0
无风险利率,0
溢价率,0
锁定期,0
融资金额,0
FCF年份_T4,0
经营活动现金流小计,0
投资活动现金流,0
筹资活动现金流,0
net_profit,0
管理费用率,0
研发费用率_is,0
经营现金流,0
投资现金流,0
EBIT,0
基本EPS,0
rd_exp,0
fin_exp,0
FCF年份_T3,0
营业利润率,0
营业利润_CAGR2,0
营运资金变动_T3,0
营运资金变动_T1,0
营运资金变动_T4,0
FCF年份_T1,0
营运资金变动_T2,0
行业PS,0
NOPAT_T,0
营运资金变动_T,0
行情_时间匹配,0
