特征,业务解释,IV,LR系数,贡献度_logit摆幅,分箱边界,各箱WOE,各箱分值_x100,贡献度占比%
三浪_gain,三浪策略一浪(启动浪)涨幅; 大=前段主升浪强,0.1382,0.7856,0.6468,"[0.446, 0.531, 0.645, 13.459]","[0.324, 0.071, -0.093, -0.5]","[25.43, 5.57, -7.32, -39.25]",22.0
turnover_std_20,"近20日换手率标准差(交易稳定性, 华西); 高=换手剧烈波动",0.0877,0.6655,0.5551,"[0.542, 0.979, 1.182, 2.082, 13.808]","[0.296, -0.014, 0.235, 0.014, -0.539]","[19.67, -0.92, 15.66, 0.92, -35.85]",18.8
sue_recency_d,最近披露距报价日天数(新鲜度); 近=PEAD强,0.0341,0.9583,0.4954,"[17.0, 33.0, 50.0, 69.0, 183.0]","[0.308, 0.072, -0.151, -0.209, -0.032]","[29.55, 6.89, -14.47, -20.0, -3.08]",16.8
smc_fvg_net_W,聪明钱SMC结构指标,0.0396,0.5243,0.3055,"[-1.0, 0.0, 1.0, 2.0, 8.0]","[0.201, 0.096, 0.005, -0.382, -0.151]","[10.54, 5.06, 0.27, -20.02, -7.9]",10.4
turnover_mom_20,换手加速(最新/20日均-1),0.0214,0.6722,0.2751,"[-0.302, -0.0707, 0.0094, 0.418, 8.029]","[-0.22, -0.115, 0.189, 0.18, -0.032]","[-14.81, -7.71, 12.7, 12.07, -2.16]",9.3
ROC_60,收益率动量(roc),0.0683,0.3144,0.2586,"[-0.0924, 0.0308, 0.134, 0.329, 3.913]","[0.352, 0.069, 0.096, -0.05, -0.471]","[11.07, 2.17, 3.03, -1.59, -14.79]",8.8
smc_liqvoid_W,聪明钱SMC结构指标,0.0263,0.4824,0.2004,"[0.0, 2.0]","[0.078, -0.338]","[3.75, -16.29]",6.8
turnover_skew_60,换手率族(daily_basic派生),0.0236,0.3336,0.1489,"[0.923, 1.342, 1.479, 2.007, 6.326]","[-0.248, -0.115, 0.198, 0.124, 0.041]","[-8.28, -3.83, 6.61, 4.14, 1.38]",5.1
smc_fvg_net_M,聪明钱SMC结构指标,0.0464,0.1083,0.0607,"[0.0, 1.0, 4.0]","[0.139, -0.125, -0.422]","[1.5, -1.36, -4.57]",2.1
