特征,系数(标准化后),影响,影响强度
折旧_T2,1.2650662876525722,↑正相关（高分→盈利）,★★★
净利润_fcf_T3,0.9452575867496734,↑正相关（高分→盈利）,★★★
资本支出_CAGR2,0.7848028880996084,↑正相关（高分→盈利）,★★★
营收_YoY,0.7293501473380295,↑正相关（高分→盈利）,★★★
盈利能力_delta_4y,0.7284858644835474,↑正相关（高分→盈利）,★★★
总分_T-4,0.6676495565275173,↑正相关（高分→盈利）,★★★
市场波动率_120d,0.6636540504689714,↑正相关（高分→盈利）,★★★
总分_斜率,0.6510325015460193,↑正相关（高分→盈利）,★★★
FCF_YoY,0.5951669236829267,↑正相关（高分→盈利）,★★★
当前价,0.587771890633566,↑正相关（高分→盈利）,★★★
营收_加速,0.5821432627609765,↑正相关（高分→盈利）,★★★
锁定价当前价,0.5681029919293273,↑正相关（高分→盈利）,★★★
FCF年份_T4,0.554557805077786,↑正相关（高分→盈利）,★★★
PB_vs_同行均值,0.5471259485712413,↑正相关（高分→盈利）,★★★
ROA,0.5252516517001191,↑正相关（高分→盈利）,★★★
同行PE_中位,0.5202957566628958,↑正相关（高分→盈利）,★★★
营收_T1,0.5019795240262257,↑正相关（高分→盈利）,★★★
PB_vs_同行中位,0.4979825048472711,↑正相关（高分→盈利）,★★★
行业胜率_120d,0.4674341346380749,↑正相关（高分→盈利）,★★★
净资产增长,0.4621985255845357,↑正相关（高分→盈利）,★★★
营收_T2,0.45924922127337053,↑正相关（高分→盈利）,★★★
盈利能力_T-4,0.4514369176728568,↑正相关（高分→盈利）,★★★
MA30,0.4365515039963907,↑正相关（高分→盈利）,★★★
价格标准差,0.4314319190909034,↑正相关（高分→盈利）,★★★
PE_vs_同行均值,0.4294638937240005,↑正相关（高分→盈利）,★★★
return_acceleration,0.4241219471792118,↑正相关（高分→盈利）,★★★
盈利能力_T-2,0.4094708049321667,↑正相关（高分→盈利）,★★★
报价日,0.3804541381674358,↑正相关（高分→盈利）,★★★
成长能力_T,0.3603147227269952,↑正相关（高分→盈利）,★★★
营收_T,0.3540618387817238,↑正相关（高分→盈利）,★★★
净利润_fcf_T,0.33729038910734355,↑正相关（高分→盈利）,★★★
年化收益_60d,0.3210439483552552,↑正相关（高分→盈利）,★★★
总分_T-3,0.2821271010401988,↑正相关（高分→盈利）,★★
盈利能力_delta_2y,0.28052089499638283,↑正相关（高分→盈利）,★★
vol_ratio_60_250,0.2739065997993865,↑正相关（高分→盈利）,★★
营收_3年斜率,0.26448847196770103,↑正相关（高分→盈利）,★★
产权比率,0.2555080969840653,↑正相关（高分→盈利）,★★
同行市值_均值,0.2549674429006392,↑正相关（高分→盈利）,★★
漂移率,0.25447176209899663,↑正相关（高分→盈利）,★★
速动比率,0.25402371272517343,↑正相关（高分→盈利）,★★
净利润_fcf_CAGR2,0.2513516082956868,↑正相关（高分→盈利）,★★
波动率_120d,0.23288920432678545,↑正相关（高分→盈利）,★★
市场胜率_120d,0.22759735683484872,↑正相关（高分→盈利）,★★
营业利润_T1,0.22278383401223983,↑正相关（高分→盈利）,★★
NOPAT_T1,0.22068588080111237,↑正相关（高分→盈利）,★★
行业MA250,0.21575272011282212,↑正相关（高分→盈利）,★★
行业区间收益_250d,0.20272910380802311,↑正相关（高分→盈利）,★★
行业年化收益_250d,0.20272910380802311,↑正相关（高分→盈利）,★★
资本支出_T1,0.18826720902836655,↑正相关（高分→盈利）,★★
同行PS_均值,0.18540930889260884,↑正相关（高分→盈利）,★★
MA20,0.18397580696493565,↑正相关（高分→盈利）,★★
净利润_fcf_加速,0.18328279387576304,↑正相关（高分→盈利）,★★
同行PE_标准差,0.1817569242496272,↑正相关（高分→盈利）,★★
成长能力_T-1,0.18019036434850377,↑正相关（高分→盈利）,★★
行业区间收益_20d,0.17376543968030553,↑正相关（高分→盈利）,★★
行业年化收益_20d,0.17059250477955323,↑正相关（高分→盈利）,★★
流动资产周转率,0.16143761328890044,↑正相关（高分→盈利）,★★
行业波动率_60d,0.15782309499877428,↑正相关（高分→盈利）,★★
行业波动率_总,0.15782309499877428,↑正相关（高分→盈利）,★★
胜率_250d,0.1573124564824449,↑正相关（高分→盈利）,★★
price_vs_MA60,0.1477777264366949,↑正相关（高分→盈利）,★
行业PE_120d增长,0.14641623302107012,↑正相关（高分→盈利）,★
波动率,0.1462365359164988,↑正相关（高分→盈利）,★
营业利润_YoY,0.13990391760986232,↑正相关（高分→盈利）,★
NOPAT_YoY,0.13931231227357166,↑正相关（高分→盈利）,★
波动率_20d,0.13476399329426159,↑正相关（高分→盈利）,★
利息资本化率,0.1315022323598624,↑正相关（高分→盈利）,★
行业PB_60d增长,0.13103141949289102,↑正相关（高分→盈利）,★
研发费用率,0.12953622821617528,↑正相关（高分→盈利）,★
MA250,0.11578170779679942,↑正相关（高分→盈利）,★
年化收益_20d,0.11204394448302131,↑正相关（高分→盈利）,★
行业MA60,0.11095959228126011,↑正相关（高分→盈利）,★
净利润_fcf_T2,0.10946136015467096,↑正相关（高分→盈利）,★
折旧_T,0.10870151991053137,↑正相关（高分→盈利）,★
利润增长,0.10676515508754288,↑正相关（高分→盈利）,★
区间收益_120d,0.10455562659547883,↑正相关（高分→盈利）,★
成长能力_delta_4y,0.10205706892974288,↑正相关（高分→盈利）,★
MA60,0.10096744089701287,↑正相关（高分→盈利）,★
