feature,iv,coverage,n_bins,skip,lgb_importance,iv_rank,lgb_rank,combined_rank
当前价,0.04433868593720136,1.0,5,False,6,44,177,110.5
FCF年份_T2,0.08065750051712281,1.0,4,False,0,9,212,110.5
总分_T,0.003204359774431191,1.0,5,False,51,210,12,111.0
FCF_T2,0.01868878382195458,1.0,5,False,21,142,80,111.0
资本支出_T3,0.018152390411679393,1.0,5,False,21,146,80,113.0
总营收增长,0.04090093371133567,1.0,5,False,8,62,164,113.0
盈利能力_delta_2y,0.03474490315101429,1.0,5,False,11,81,146,113.5
capex_to_dep,0.013426720405781887,1.0,5,False,26,169,58,113.5
均价_all,0.04682546259979056,1.0,5,False,4,37,190,113.5
营业利润_T3,0.03134797813802293,1.0,5,False,12,90,137,113.5
行业年化收益_120d,0.01956055197260472,1.0,5,False,19,137,91,114.0
总分_T-2,0.01768181206644886,1.0,5,False,21,149,80,114.5
ROE增长,0.03651263281716084,1.0,5,False,10,76,153,114.5
FCF_3年斜率,0.03263509423176466,1.0,5,False,11,85,146,115.5
盈利能力_斜率,0.026190922818410255,1.0,5,False,14,108,123,115.5
FCF_T,0.023499419489855126,1.0,5,False,16,121,111,116.0
price_vs_MA60,0.023230382113635664,1.0,5,False,16,122,111,116.5
成长能力_delta_4y,0.009159305849856508,1.0,5,False,29,188,46,117.0
行业PB_60d增长,0.028493570601285392,1.0,4,False,12,98,137,117.5
营收增长2,0.04342122961090924,1.0,5,False,4,45,190,117.5
营收_T,0.009506038733480538,1.0,5,False,28,186,51,118.5
行业PB_120d增长,0.01996075754149152,1.0,4,False,17,135,103,119.0
个股PE,0.010436041811172426,1.0,5,False,26,181,58,119.5
净利润_fcf_YoY,0.027199165452158218,1.0,5,False,12,103,137,120.0
行业波动率_20d,0.010393711880390758,1.0,5,False,26,182,58,120.0
折旧_T,0.011968183097962702,1.0,5,False,23,175,68,121.5
同行PB_均值,0.014952436387343391,1.0,5,False,21,163,80,121.5
NOPAT_YoY,0.026388023251696334,1.0,5,False,12,107,137,122.0
资本支出_CAGR2,0.016053964468079822,1.0,5,False,20,158,86,122.0
行业胜率_60d,0.03958774152695935,1.0,5,False,6,68,177,122.5
PE_vs_行业,0.0030202269973112032,1.0,5,False,34,211,34,122.5
FCF_conversion,0.007970409190127358,1.0,5,False,28,195,51,123.0
区间收益_120d,0.025311195291654473,1.0,5,False,12,111,137,124.0
盈利能力_T-3,0.01137502790116051,1.0,5,False,22,177,72,124.5
行业波动率_总,0.04277968883758492,1.0,5,False,3,53,196,124.5
NOPAT_CAGR2,0.03762528170965701,1.0,4,False,6,74,177,125.5
净利润_fcf_T,0.036987730139360964,1.0,5,False,6,75,177,126.0
ROE摊薄,0.04294938320292708,1.0,5,False,2,51,202,126.5
盈利能力_T-4,0.02357195048293261,1.0,5,False,12,120,137,128.5
扣非净利增长,0.03142613733627831,1.0,5,False,7,89,169,129.0
应收账款周转率,0.027767057552013977,1.0,5,False,9,100,159,129.5
总分_delta_4y,0.014682486062627646,1.0,5,False,18,164,97,130.5
行业MA250,0.018761292912698267,1.0,5,False,14,141,123,132.0
同行PS_中位,0.00983686666796415,1.0,5,False,21,185,80,132.5
行业漂移率,0.04067827703218104,1.0,5,False,2,64,202,133.0
盈利能力_T,0.0018353049511056342,1.0,5,False,27,212,54,133.0
总分_斜率,0.024715503783421813,1.0,5,False,10,113,153,133.0
净利润_fcf_T1,0.017551376297774812,1.0,5,False,15,150,118,134.0
成长能力_T,0.008002769587854664,1.0,5,False,21,194,80,137.0
营业利润_T,0.02379051930663178,1.0,5,False,9,116,159,137.5
return_acceleration,0.00571228501412455,1.0,5,False,22,205,72,138.5
资本支出_T4,0.016053964468079822,1.0,5,False,15,159,118,138.5
胜率_20d,0.021957620022633115,1.0,5,False,10,124,153,138.5
净利润_fcf_T3,0.023766553673266713,1.0,5,False,9,118,159,138.5
NOPAT_3年斜率,0.03913262343175334,1.0,5,False,1,71,207,139.0
同行PE_标准差,0.013641135319667683,1.0,5,False,16,168,111,139.5
行业年化收益_250d,0.017354844750708823,1.0,5,False,13,153,128,140.5
同行公司数,0.003579821447328516,1.0,5,False,22,209,72,140.5
成长能力_斜率,0.01130360547247877,1.0,5,False,17,178,103,140.5
行业MA120,0.021173873321717777,1.0,5,False,10,130,153,141.5
营业利润_CAGR2,0.03762528170965701,1.0,4,False,0,73,212,142.5
NOPAT_margin,0.02311362204319173,1.0,5,False,8,123,164,143.5
NOPAT_T3,0.03134797813802293,1.0,5,False,3,91,196,143.5
FCF_margin,0.026631810549743777,1.0,5,False,5,105,184,144.5
NOPAT_T4,0.031051307617407632,1.0,5,False,3,94,196,145.0
盈利能力_delta_4y,0.010874600111880534,1.0,5,False,16,180,111,145.5
营业利润_T2,0.0273211266230311,1.0,5,False,4,102,190,146.0
行业胜率_20d,0.02132730446187193,1.0,5,False,8,128,164,146.0
NOPAT_加速,0.019119450822864908,1.0,5,False,10,140,153,146.5
成长能力_T-4,0.017497691257704687,1.0,5,False,11,151,146,148.5
行业MA20,0.020067364676069795,1.0,5,False,8,133,164,148.5
折旧_T4,0.008736091107687948,1.0,5,False,16,191,111,151.0
区间收益_250d,0.021419640687212516,1.0,5,False,6,127,177,152.0
胜率_60d,0.0011214100230318076,1.0,5,False,19,214,91,152.5
净利润_fcf_T2,0.0177686276251411,1.0,5,False,9,147,159,153.0
PE_vs_同行中位,0.009859696867816365,1.0,5,False,14,184,123,153.5
FCF_T4,0.007733528313731725,1.0,5,False,16,196,111,153.5
资本支出_T2,0.009052252578545264,1.0,5,False,15,190,118,154.0
NOPAT_T2,0.0273211266230311,1.0,5,False,1,101,207,154.0
折旧_T2,0.01826409958845025,1.0,5,False,8,144,164,154.0
行业MA60,0.020716145177129774,1.0,5,False,5,131,184,157.5
营业利润_加速,0.020510204293420323,1.0,5,False,5,132,184,158.0
资本支出_加速,0.004692480299141269,1.0,5,False,16,207,111,159.0
NOPAT_T,0.02379051930663178,1.0,5,False,2,117,202,159.5
营业利润_YoY,0.024343562076975803,1.0,5,False,1,114,207,160.5
行业区间收益_250d,0.017354844750708823,1.0,5,False,7,152,169,160.5
营收_T2,0.013214504063997257,1.0,5,False,10,170,153,161.5
资本支出_T1,0.009347741192840575,1.0,5,False,12,187,137,162.0
净利润_fcf_T4,0.01662887764888852,1.0,5,False,7,156,169,162.5
行业PE,0.01771924094293277,1.0,5,False,6,148,177,162.5
胜率_120d,0.0036357677883681375,1.0,5,False,15,208,118,163.0
